competitor_id,name,country,country_code,abbreviation
sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL
sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT
sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB
sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA
sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV
sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL
sr:competitor:51836,"Arevalo, Marcelo",El Salvador,SLV,ARE
sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV
sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA
sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT
sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA
sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS
sr:competitor:52065,"Harrison, Christian",USA,USA,HAR
sr:competitor:121182,"Guinard, Manuel",France,FRA,GUI
sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG,AND
sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL
sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK
sr:competitor:47966,"Olivetti, Albano",France,FRA,OLI
sr:competitor:231090,"Arribage, Theo",France,FRA,ARR
sr:competitor:78793,"Miedler, Lucas",Austria,AUT,MIE
sr:competitor:106349,"Reboul, Fabien",France,FRA,REB
sr:competitor:106559,"Doumbia, Sadio",France,FRA,DOU
sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG
sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS
sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL
sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB
sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA
sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER
sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR
sr:competitor:114831,"Erler, Alexander",Austria,AUT,ERL
sr:competitor:838776,"Tracy, James",USA,USA,TRA
sr:competitor:112805,"Zielinski, Jan",Poland,POL,ZIE
sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU,SCH
sr:competitor:936355,"Wallner, Mark",Germany,DEU,WAL
sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV
